	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_count_dt_exact_appearance	topics_count_dt_shared_vocabulary	topics_count_dt_semantic_similarity	topics_tfidf_dt_exact_appearance	topics_tfidf_dt_shared_vocabulary	topics_tfidf_dt_semantic_similarity
count	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
mean	1.0	0.9285714285714285	0.1074974536895752	0.9609443114079825	0.7354271095155479	0.08663249015808105	0.9333333333333332	0.9	0.031243403752644856	0.9333333333333332	0.9	0.031243403752644856	1.0	1.0	0.03380821148554484	1.0	1.0	0.03380821148554484
std	0.0	0.12371791482634839	0.0950043728450667	0.022233765272954346	0.03240363295422494	0.07247934387804193	0.11547005383792512	0.17320508075688776	0.0754672907777847	0.11547005383792512	0.17320508075688776	0.0754672907777847	0.0	0.0	0.010191985139934127	0.0	0.0	0.010191985139934127
min	1.0	0.7857142857142857	0.03211355209350586	0.9354838709677419	0.7	0.028975844383239746	0.8	0.7	-0.013072013854980469	0.8	0.7	-0.013072013854980469	1.0	1.0	0.023236870765686035	1.0	1.0	0.023236870765686035
25%	1.0	0.8928571428571428	0.05414140224456787	0.953150495795155	0.7213577185368878	0.04595029354095459	0.9	0.85	-0.012325525283813477	0.9	0.85	-0.012325525283813477	1.0	1.0	0.02892586588859558	1.0	1.0	0.02892586588859558
50%	1.0	1.0	0.07616925239562988	0.9708171206225681	0.7427154370737755	0.06292474269866943	1.0	1.0	-0.011579036712646484	1.0	1.0	-0.011579036712646484	1.0	1.0	0.03461486101150513	1.0	1.0	0.03461486101150513
75%	1.0	1.0	0.14518940448760986	0.9736745316281028	0.7531406642733218	0.11546081304550171	1.0	1.0	0.05340111255645752	1.0	1.0	0.05340111255645752	1.0	1.0	0.03909388184547424	1.0	1.0	0.03909388184547424
max	1.0	1.0	0.21420955657958984	0.9765319426336375	0.7635658914728682	0.16799688339233398	1.0	1.0	0.11838126182556152	1.0	1.0	0.11838126182556152	1.0	1.0	0.04357290267944336	1.0	1.0	0.04357290267944336
