	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_lda_exact_appearance	topics_lda_shared_vocabulary	topics_lda_semantic_similarity	topics_nmf_exact_appearance	topics_nmf_shared_vocabulary	topics_nmf_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_tfidf_corpus_exact_appearance	topics_tfidf_corpus_shared_vocabulary	topics_tfidf_corpus_semantic_similarity	topics_dt_exact_appearance	topics_dt_shared_vocabulary	topics_dt_semantic_similarity
count	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	19.0	19.0	38.0
mean	0.955209994683679	0.7087024740615165	0.005614774298080406	0.9751374140301221	0.7470958114737001	0.004400276286723105	0.48157894736842105	0.3763157894736842	0.0012460842606194745	0.45789473684210524	0.35	0.0012777796686434236	0.7152046783625732	0.4149122807017544	0.0024667500229977792	0.7152046783625732	0.4149122807017544	0.0024667500229977792	0.37947994987468675	0.29194862155388474	-0.0009662100292189338	1.0	1.0	0.001363666239474572
std	0.06137537315905545	0.23686993474536672	0.018696336473936963	0.04942378419452856	0.15875861802298316	0.020695385094450174	0.2966982844191054	0.31574383264295536	0.025169347027183972	0.2727552897372636	0.28828476912266476	0.025327324476230442	0.2197827217860241	0.29190246513932966	0.0238047761119023	0.2197827217860241	0.29190246513932966	0.0238047761119023	0.20860870052799738	0.22355869388410074	0.024628302261484384	0.0	0.0	0.03723704805560179
min	0.75	0.0	-0.023262999531997952	0.8214285714285714	0.4117647058823529	-0.04144275560169741	0.0	0.0	-0.03633268069597051	0.0	0.0	-0.03633268069597051	0.1	0.0	-0.03558496994076643	0.1	0.0	-0.03558496994076643	0.0	0.0	-0.046672343016357365	1.0	1.0	-0.07876837032964601
25%	0.9193181818181818	0.6194331983805668	-0.010119506181706484	0.9761904761904762	0.6421621621621622	-0.010060217688261486	0.225	0.1	-0.014069309216031	0.225	0.1	-0.014069309216031	0.6	0.1	-0.013167902065943815	0.6	0.1	-0.013167902065943815	0.3	0.10277777777777777	-0.0158453575318645	1.0	1.0	-0.02388697532426043
50%	1.0	0.7777777777777778	0.006424988286027777	1.0	0.7356688155364904	0.003255962993130135	0.5	0.3	0.0014101828032505037	0.45	0.3	-0.0008363299398449486	0.788888888888889	0.4	0.0015663928055986709	0.788888888888889	0.4	0.0015663928055986709	0.4	0.3	-0.002241824229184064	1.0	1.0	0.0031641217894233242
75%	1.0	0.9008413461538461	0.01481171494501829	1.0	0.8761494252873563	0.018398195854103877	0.6749999999999999	0.6	0.012040421130801643	0.6	0.6	0.014055042672598578	0.9	0.6916666666666667	0.009741447457759983	0.9	0.6916666666666667	0.009741447457759983	0.42857142857142855	0.4	0.012799898456817088	1.0	1.0	0.02873893677322789
max	1.0	1.0	0.06766313963851123	1.0	1.0	0.07791818416127816	1.0	1.0	0.07926769469537753	1.0	0.9	0.07926769469537753	1.0	1.0	0.0699356040380773	1.0	1.0	0.0699356040380773	1.0	0.9	0.0664856014053482	1.0	1.0	0.09326871382280089
