topic_source,score
pytextrank,0.49745017616201415
nmf,0.5
tfidf_corpus,0.5571428571428572
count,0.5700000000000001
tfidf_texts,0.5700000000000001
yake,0.5819000516719569
lda,0.6714285714285715
count_dt,1.0
dt,1.0
tfidf_dt,1.0
