	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_lda_exact_appearance	topics_lda_shared_vocabulary	topics_lda_semantic_similarity	topics_nmf_exact_appearance	topics_nmf_shared_vocabulary	topics_nmf_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_tfidf_corpus_exact_appearance	topics_tfidf_corpus_shared_vocabulary	topics_tfidf_corpus_semantic_similarity	topics_dt_exact_appearance	topics_dt_shared_vocabulary	topics_dt_semantic_similarity
count	14.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	8.0	8.0	15.0
mean	0.9964285714285713	0.8933516724821072	-0.0061224311857411545	0.999074381629354	0.8613839572473349	-0.0026417435824945676	0.7333333333333335	0.6266666666666666	-0.005245108525912475	0.7333333333333333	0.5999999999999999	-0.004400563113667988	0.8949206349206349	0.7631746031746032	-0.006397629085973329	0.8949206349206349	0.7631746031746032	-0.006397629085973329	0.7095238095238094	0.5678571428571428	-0.005516035480770739	1.0	1.0	-0.0132946939745119
std	0.013363062095621228	0.08565235314391512	0.030306441054344147	0.003584904534455363	0.099681953379336	0.02314305900065695	0.2845213189769459	0.25485756993344527	0.028157806490371196	0.2794552524023088	0.23904572186687875	0.02778980069625722	0.10905813123703378	0.12028562631172243	0.03021826579171129	0.10905813123703378	0.12028562631172243	0.03021826579171129	0.2534120894409538	0.2136598001592289	0.028510010940070763	0.0	0.0	0.030742545626491837
min	0.95	0.7272727272727273	-0.08014910580843027	0.9861157244403109	0.7	-0.04450510645870476	0.1	0.1	-0.06876913570075827	0.1	0.1	-0.06876913570075827	0.6	0.6	-0.08165216328289437	0.6	0.6	-0.08165216328289437	0.14285714285714285	0.14285714285714285	-0.07162224043114129	1.0	1.0	-0.08014910580843027
25%	1.0	0.8548913043478261	-0.0186228399630185	1.0	0.7846153846153847	-0.017336403204064155	0.7	0.6	-0.019447401074212278	0.7	0.55	-0.017185014524055076	0.873015873015873	0.6833333333333333	-0.017380956836609562	0.873015873015873	0.6833333333333333	-0.017380956836609562	0.6499999999999999	0.5	-0.01878846124611433	1.0	1.0	-0.03467572913450856
50%	1.0	0.8819444444444444	-0.004081945668647613	1.0	0.8888888888888888	-0.0037055981013989214	0.8	0.6	-0.008599712637080925	0.8	0.6	-0.00791101043128517	0.9	0.7142857142857143	-0.008481938742041395	0.9	0.7142857142857143	-0.008481938742041395	0.8	0.6	-0.005085368221524611	1.0	1.0	-0.007701734842739061
75%	1.0	0.9807692307692308	0.005592733706860142	1.0	0.9188311688311688	0.01179961880906688	0.9	0.75	0.00466850919133166	0.9	0.75	0.004811327123502684	1.0	0.8500000000000001	0.004241771544282902	1.0	0.8500000000000001	0.004241771544282902	0.8	0.6499999999999999	0.00956971756078584	1.0	1.0	-0.0001875510811273906
max	1.0	1.0	0.0412677224015614	1.0	1.0	0.04249642813046939	1.0	1.0	0.04670103973569362	1.0	0.9	0.04670103973569362	1.0	1.0	0.04670103973569362	1.0	1.0	0.04670103973569362	1.0	0.9	0.045776763879540106	1.0	1.0	0.030111903182801103
