	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_count_dt_exact_appearance	topics_count_dt_shared_vocabulary	topics_count_dt_semantic_similarity	topics_tfidf_dt_exact_appearance	topics_tfidf_dt_shared_vocabulary	topics_tfidf_dt_semantic_similarity
count	242.0	242.0	242.0	242.0	242.0	242.0	242.0	242.0	242.0	242.0	242.0	242.0	242.0	242.0	242.0	242.0	242.0	242.0
mean	0.9973771808999081	0.8578170566806931	0.2923037205353256	0.9994186615560117	0.8880255568192583	0.18042007433481452	1.0	0.8790650006559099	0.1319012136991359	1.0	0.8790650006559099	0.1319012136991359	1.0	1.0	0.15942071661476262	1.0	1.0	0.15942071661476262
std	0.01868323015796858	0.18189160136853855	0.06970604558293625	0.006015607957515857	0.11405327198053627	0.07159099238056754	0.0	0.11493720769638377	0.04011774743465349	0.0	0.11493720769638377	0.04011774743465349	0.0	0.0	0.06602034501626917	0.0	0.0	0.06602034501626917
min	0.7777777777777778	0.0	0.1186072826385498	0.9210526315789473	0.5	0.044180452823638916	1.0	0.4	0.05161428451538086	1.0	0.4	0.05161428451538086	1.0	1.0	0.009598493576049805	1.0	1.0	0.009598493576049805
25%	1.0	0.75	0.24260804057121277	1.0	0.8333333333333334	0.12644889950752258	1.0	0.8	0.10421070456504822	1.0	0.8	0.10421070456504822	1.0	1.0	0.10908010601997375	1.0	1.0	0.10908010601997375
50%	1.0	0.9115384615384616	0.2832190990447998	1.0	0.875	0.1622019112110138	1.0	0.9	0.13022196292877197	1.0	0.9	0.13022196292877197	1.0	1.0	0.16118502616882324	1.0	1.0	0.16118502616882324
75%	1.0	1.0	0.3301522433757782	1.0	1.0	0.22587928175926208	1.0	1.0	0.15178240835666656	1.0	1.0	0.15178240835666656	1.0	1.0	0.1981554627418518	1.0	1.0	0.1981554627418518
max	1.0	1.0	0.5597535967826843	1.0	1.0	0.47936296463012695	1.0	1.0	0.2794991135597229	1.0	1.0	0.2794991135597229	1.0	1.0	0.4065030813217163	1.0	1.0	0.4065030813217163
