	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_count_dt_exact_appearance	topics_count_dt_shared_vocabulary	topics_count_dt_semantic_similarity	topics_tfidf_dt_exact_appearance	topics_tfidf_dt_shared_vocabulary	topics_tfidf_dt_semantic_similarity
count	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0
mean	0.9833333333333334	0.6521739130434783	0.013267219066619873	0.8122983111019026	0.4922740905475265	0.018647412459055584	0.7000000000000001	0.6	0.021221200625101726	0.7000000000000001	0.6	0.021221200625101726	1.0	1.0	-0.003924508889516194	1.0	1.0	-0.003924508889516194
std	0.028867513459481315	0.5652173913043478	0.01887222080509265	0.2069936434450389	0.3820103551609116	0.009918973005789424	0.43588989435406733	0.5291502622129182	0.025191640711794767	0.43588989435406733	0.5291502622129182	0.025191640711794767	0.0	0.0	0.05450655032706799	0.0	0.0	0.05450655032706799
min	0.95	0.0	-0.006947875022888184	0.5772804054054054	0.0795221843003413	0.009795129299163818	0.2	0.0	-0.0076904296875	0.2	0.0	-0.0076904296875	1.0	1.0	-0.06676054000854492	1.0	1.0	-0.06676054000854492
25%	0.975	0.4782608695652174	0.0046894848346710205	0.734693725737933	0.32170880072831404	0.013287365436553955	0.55	0.4	0.012605220079421997	0.55	0.4	0.012605220079421997	1.0	1.0	-0.021189868450164795	1.0	1.0	-0.021189868450164795
50%	1.0	0.9565217391304348	0.016326844692230225	0.8921070460704607	0.5638954171562868	0.016779601573944092	0.9	0.8	0.032900869846343994	0.9	0.8	0.032900869846343994	1.0	1.0	0.024380803108215332	1.0	1.0	0.024380803108215332
75%	1.0	0.9782608695652174	0.0233747661113739	0.9298072639501512	0.6986500436711192	0.023073554039001465	0.95	0.9	0.03567701578140259	0.95	0.9	0.03567701578140259	1.0	1.0	0.02749350666999817	1.0	1.0	0.02749350666999817
max	1.0	1.0	0.030422687530517578	0.9675074818298418	0.8334046701859514	0.029367506504058838	1.0	1.0	0.03845316171646118	1.0	1.0	0.03845316171646118	1.0	1.0	0.030606210231781006	1.0	1.0	0.030606210231781006
