	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_lda_exact_appearance	topics_lda_shared_vocabulary	topics_lda_semantic_similarity	topics_nmf_exact_appearance	topics_nmf_shared_vocabulary	topics_nmf_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_tfidf_corpus_exact_appearance	topics_tfidf_corpus_shared_vocabulary	topics_tfidf_corpus_semantic_similarity	topics_dt_exact_appearance	topics_dt_shared_vocabulary	topics_dt_semantic_similarity
count	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
mean	0.9833333333333334	0.3333333333333333	0.022245948384368625	0.7220227432242322	0.3488168156621314	0.021420259290099792	0.7666666666666666	0.5666666666666668	0.029218619376050265	0.6666666666666666	0.3666666666666667	0.024749796139034237	0.43333333333333335	0.3333333333333333	0.030709193716206656	0.43333333333333335	0.3333333333333333	0.030709193716206656	0.7074074074074074	0.3666666666666667	0.027278231068034103	1.0	1.0	0.021869876951901013
std	0.028867513459481315	0.5773502691896258	0.029474097148304443	0.2217908947551976	0.4199556594455577	0.026301156631596774	0.32145502536643183	0.4509249752822894	0.015451898431922212	0.30550504633038933	0.5507570547286103	0.02232079616906366	0.49328828623162474	0.5773502691896258	0.02500702685790816	0.49328828623162474	0.5773502691896258	0.02500702685790816	0.4231471350988765	0.47258156262526085	0.01757467230401833	0.0	0.0	0.031208175705920597
min	0.95	0.0	0.0018609894672280136	0.536003704561241	0.09055338177752935	0.00212655905876058	0.4	0.1	0.014334340632851661	0.4	0.0	0.0009278708866031771	0.1	0.0	0.0037752713275014393	0.1	0.0	0.0037752713275014393	0.2222222222222222	0.0	0.01224048819507162	1.0	1.0	-0.0013495195511998848
25%	0.975	0.0	0.005348623004098274	0.5992964496302637	0.10653084371268494	0.006440977686689886	0.65	0.35	0.021237125712771532	0.5	0.05	0.014533890857247489	0.15000000000000002	0.0	0.019468101200243892	0.15000000000000002	0.0	0.019468101200243892	0.5611111111111111	0.1	0.017618184712778262	1.0	1.0	0.004131933608620297
50%	1.0	0.0	0.008836256540968535	0.6625891946992865	0.12250830564784053	0.010755396314619192	0.9	0.6	0.028139910792691403	0.6	0.1	0.0281399108278918	0.2	0.0	0.035160931072986346	0.2	0.0	0.035160931072986346	0.9	0.2	0.022995881230484905	1.0	1.0	0.00961338676844048
75%	1.0	0.5	0.03243842784293893	0.8150322625557278	0.47794853260443243	0.0310671094057694	0.95	0.8	0.03666075874764957	0.8	0.55	0.03666075876524977	0.6	0.5	0.04417615491055926	0.6	0.5	0.04417615491055926	0.95	0.55	0.03479710250451534	1.0	1.0	0.03347957520345146
max	1.0	1.0	0.05604059914490933	0.9674753304121692	0.8333887595610243	0.05137882249691961	1.0	1.0	0.045181606702607735	1.0	1.0	0.045181606702607735	1.0	1.0	0.05319137874813218	1.0	1.0	0.05319137874813218	1.0	0.9	0.04659832377854578	1.0	1.0	0.057345763638462444
