topic_source,score
tfidf_corpus,0.3685413245758073
nmf,0.4747126436781609
lda,0.48160919540229885
count,0.5579091406677614
tfidf_texts,0.5579091406677614
yake,0.7898751433152369
pytextrank,0.8016422528624032
count_dt,1.0
dt,1.0
tfidf_dt,1.0
