	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_lda_exact_appearance	topics_lda_shared_vocabulary	topics_lda_semantic_similarity	topics_nmf_exact_appearance	topics_nmf_shared_vocabulary	topics_nmf_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_tfidf_corpus_exact_appearance	topics_tfidf_corpus_shared_vocabulary	topics_tfidf_corpus_semantic_similarity	topics_dt_exact_appearance	topics_dt_shared_vocabulary	topics_dt_semantic_similarity
count	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
mean	1.0	0.8742424242424244	0.008099553382452903	0.9766341576686405	0.732884097631826	0.0036005473423510828	0.9	0.9	0.011926592399613356	0.9	0.9	0.011919955749364145	0.9	0.8666666666666667	0.012677207780344535	0.9	0.8666666666666667	0.012677207780344535	0.7333333333333334	0.7000000000000001	0.004522713367142606	1.0	1.0	0.008568216494704775
std	0.0	0.11555948464041421	0.009822205286088105	0.005840421868385961	0.028053132674535033	0.004690866900251433	0.09999999999999998	0.09999999999999998	0.008962092466635279	0.09999999999999998	0.09999999999999998	0.009119277325320287	0.09999999999999998	0.11547005383792512	0.004398148257961655	0.09999999999999998	0.11547005383792512	0.004398148257961655	0.23094010767585033	0.264575131106459	0.0067934216155334185	0.0	0.0	0.007598547665573521
min	1.0	0.7727272727272727	0.001620273959488605	0.9703065134099617	0.7037037037037037	0.0004144731757662612	0.8	0.8	0.0038107273627311367	0.8	0.8	0.004654858176151633	0.8	0.8	0.009862172938874036	0.8	0.8	0.009862172938874036	0.6	0.5	-0.0006357228176629981	1.0	1.0	0.0029616875444510304
25%	1.0	0.8113636363636363	0.0024489172228652767	0.9740421455938697	0.7194989106753813	0.0009072597827667339	0.8500000000000001	0.8500000000000001	0.007117398973062072	0.8500000000000001	0.8500000000000001	0.00680311372022635	0.8500000000000001	0.8	0.010143121761133522	0.8500000000000001	0.8	0.010143121761133522	0.6	0.55	0.0006741260413409833	1.0	1.0	0.004244125896725071
50%	1.0	0.85	0.0032775604862419483	0.9777777777777777	0.7352941176470589	0.0014000463897672066	0.9	0.9	0.010424070583393008	0.9	0.9	0.008951369264301068	0.9	0.8	0.010424070583393008	0.9	0.8	0.010424070583393008	0.6	0.6	0.0019839749003449647	1.0	1.0	0.005526564248999111
75%	1.0	0.925	0.011339193093935052	0.9797979797979798	0.7474742945958872	0.005193584425643494	0.95	0.95	0.015984524918054466	0.95	0.95	0.015552504535970402	0.95	0.9	0.014084725201079784	0.95	0.9	0.014084725201079784	0.8	0.8	0.0071019314595454075	1.0	1.0	0.011371480969831649
max	1.0	1.0	0.019400825701628155	0.9818181818181818	0.7596544715447154	0.008987122461519781	1.0	1.0	0.021544979252715923	1.0	1.0	0.022153639807639736	1.0	1.0	0.01774537981876656	1.0	1.0	0.01774537981876656	1.0	1.0	0.01221988801874585	1.0	1.0	0.017216397690664187
