	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_count_dt_exact_appearance	topics_count_dt_shared_vocabulary	topics_count_dt_semantic_similarity	topics_tfidf_dt_exact_appearance	topics_tfidf_dt_shared_vocabulary	topics_tfidf_dt_semantic_similarity
count	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
mean	1.0	0.7962962962962963	0.19131459792455038	0.9953854686633389	0.7849097085642768	0.1776882211367289	0.9166666666666666	0.85	0.20264390110969543	0.9166666666666666	0.85	0.20264390110969543	1.0	1.0	0.3602259950712323	1.0	1.0	0.3602259950712323
std	0.0	0.26254531256958935	0.1143539529865133	0.007992602728215784	0.10838715384296242	0.18933224992367695	0.14433756729740646	0.08660254037844388	0.26937480839257405	0.14433756729740646	0.08660254037844388	0.26937480839257405	0.0	0.0	0.551876367899415	0.0	0.0	0.551876367899415
min	1.0	0.5	0.07281935214996338	0.9861564059900166	0.6666666666666666	0.05313080549240112	0.75	0.75	0.03583657741546631	0.75	0.75	0.03583657741546631	1.0	1.0	0.04051274061203003	1.0	1.0	0.04051274061203003
25%	1.0	0.6944444444444444	0.13646191358566284	0.9930782029950083	0.7375886524822695	0.06874978542327881	0.875	0.825	0.04726019501686096	0.875	0.825	0.04726019501686096	1.0	1.0	0.04160064458847046	1.0	1.0	0.04160064458847046
50%	1.0	0.8888888888888888	0.2001044750213623	1.0	0.8085106382978723	0.0843687653541565	1.0	0.9	0.058683812618255615	1.0	0.9	0.058683812618255615	1.0	1.0	0.04268854856491089	1.0	1.0	0.04268854856491089
75%	1.0	0.9444444444444444	0.25056222081184387	1.0	0.8440312295130818	0.23996692895889282	1.0	0.9	0.28604756295681	1.0	0.9	0.28604756295681	1.0	1.0	0.5200826223008335	1.0	1.0	0.5200826223008335
max	1.0	1.0	0.30101996660232544	1.0	0.8795518207282913	0.39556509256362915	1.0	0.9	0.5134113132953644	1.0	0.9	0.5134113132953644	1.0	1.0	0.997476696036756	1.0	1.0	0.997476696036756
