	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_lda_exact_appearance	topics_lda_shared_vocabulary	topics_lda_semantic_similarity	topics_nmf_exact_appearance	topics_nmf_shared_vocabulary	topics_nmf_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_tfidf_corpus_exact_appearance	topics_tfidf_corpus_shared_vocabulary	topics_tfidf_corpus_semantic_similarity	topics_dt_exact_appearance	topics_dt_shared_vocabulary	topics_dt_semantic_similarity
count	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
mean	0.9624999999999999	0.7156196943972836	0.02903426660381747	0.8642826993134064	0.612807260747792	0.028628103354807144	0.85	0.75	0.04554383535198772	0.75	0.6	0.04057102613092903	0.8	0.725	0.04676669303290415	0.8	0.725	0.04676669303290415	0.7875	0.7	0.04028435709932843	1.0	1.0	0.03285444719193001
std	0.0478713553878169	0.47910760178952194	0.02330742526628913	0.2053322582345434	0.3528045498271466	0.015344491591187765	0.30000000000000004	0.4358898943540674	0.008407949230403184	0.30000000000000004	0.469041575982343	0.010426152727747346	0.4	0.48562674281111556	0.008675970574108256	0.4	0.48562674281111556	0.008675970574108256	0.361420807370024	0.4690415759823429	0.006473566753248749	0.0	0.0	0.004388384305547385
min	0.9	0.0	0.002517764119300936	0.5566790846194785	0.08918688803746275	0.019738610925944977	0.4	0.1	0.03391949472786415	0.4	0.1	0.03024539549510985	0.2	0.0	0.03391949472786415	0.2	0.0	0.03391949472786415	0.25	0.0	0.03507485127643406	1.0	1.0	0.027834486700639927
25%	0.9375	0.6710526315789473	0.015327406765274887	0.8544276237673734	0.558632322199149	0.019975325033652375	0.85	0.7	0.042315144778510255	0.55	0.25	0.03300096991967558	0.8	0.675	0.04598371782125954	0.8	0.675	0.04598371782125954	0.7375	0.675	0.036698567248550196	1.0	1.0	0.02990255675534309
50%	0.975	0.9312393887945671	0.028415380668826817	0.960680960868119	0.7678914132977481	0.021624094592104348	1.0	0.95	0.04762516358736835	0.8	0.65	0.03951659476162811	1.0	0.95	0.0500708789492012	1.0	0.95	0.0500708789492012	0.95	0.9	0.03819766339398423	1.0	1.0	0.03320150887825457
75%	1.0	0.9758064516129032	0.0421222405073694	0.970536036414152	0.8220663518463911	0.030276872913259117	1.0	1.0	0.05085385416084581	1.0	1.0	0.04708665097288156	1.0	1.0	0.05085385416084581	1.0	1.0	0.05085385416084581	1.0	0.925	0.04178345324476246	1.0	1.0	0.03615339931484149
max	1.0	1.0	0.056788540958315314	0.9790897908979089	0.8262593283582089	0.0515256133090749	1.0	1.0	0.05300551950535004	1.0	1.0	0.05300551950535004	1.0	1.0	0.05300551950535004	1.0	1.0	0.05300551950535004	1.0	1.0	0.049667250332911195	1.0	1.0	0.037180284310570966
