	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_lda_exact_appearance	topics_lda_shared_vocabulary	topics_lda_semantic_similarity	topics_nmf_exact_appearance	topics_nmf_shared_vocabulary	topics_nmf_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_tfidf_corpus_exact_appearance	topics_tfidf_corpus_shared_vocabulary	topics_tfidf_corpus_semantic_similarity	topics_dt_exact_appearance	topics_dt_shared_vocabulary	topics_dt_semantic_similarity
count	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	173.0	79.0	79.0	173.0
mean	0.9893037496931626	0.911630493783673	0.009851824726707396	0.9979527938342969	0.9070271521509572	0.011997927388190149	0.9895953757225433	0.9179190751445088	0.025750740654112144	0.9895953757225433	0.9179190751445088	0.0258185678536096	0.9971098265895953	0.924004495825305	0.026092452650335538	0.9971098265895953	0.924004495825305	0.026092452650335538	0.9801380860629414	0.9059661436829067	0.02453495233517926	1.0	1.0	0.033961781758318786
std	0.03491341147799829	0.12591034588432282	0.024875686329681176	0.014240674359091212	0.12007543335398219	0.02880169593578673	0.04583030354119181	0.09628116732017235	0.025816852295349194	0.04583030354119181	0.09748138960883716	0.025784970001069666	0.0251223648733597	0.09418802122199096	0.02556120257344712	0.0251223648733597	0.09418802122199096	0.02556120257344712	0.06557983488303815	0.11347506448767157	0.023683971372012384	0.0	0.0	0.03871956226013528
min	0.8	0.5	-0.057789941799673894	0.8571428571428571	0.5454545454545454	-0.05873425612794869	0.7	0.7	-0.05177235646246481	0.7	0.7	-0.05177235646246481	0.7	0.7	-0.042702927516153455	0.7	0.7	-0.042702927516153455	0.5	0.4444444444444444	-0.03961040139638583	1.0	1.0	-0.07870071298850045
25%	1.0	0.8333333333333334	-0.006700794295127821	1.0	0.8571428571428571	-0.009000938745206799	1.0	0.9	0.009904804283076385	1.0	0.9	0.010852412548800316	1.0	0.9	0.010144690947633817	1.0	0.9	0.010144690947633817	1.0	0.8571428571428571	0.010797493381640377	1.0	1.0	0.007078340372244973
50%	1.0	1.0	0.00863613106043526	1.0	1.0	0.007350750489367064	1.0	0.9	0.02604776622545779	1.0	1.0	0.026107096943486452	1.0	1.0	0.02619829905313975	1.0	1.0	0.02619829905313975	1.0	0.9	0.025451555657881708	1.0	1.0	0.03556687324436003
75%	1.0	1.0	0.026556179023487503	1.0	1.0	0.030120542813162454	1.0	1.0	0.04024547502629516	1.0	1.0	0.04078518262214459	1.0	1.0	0.0407851826221447	1.0	1.0	0.0407851826221447	1.0	1.0	0.039739766990261494	1.0	1.0	0.0580514143169274
max	1.0	1.0	0.07669154382886223	1.0	1.0	0.09617555460485927	1.0	1.0	0.0969776057085211	1.0	1.0	0.09532270652067287	1.0	1.0	0.09532270652067287	1.0	1.0	0.09532270652067287	1.0	1.0	0.08286648988339762	1.0	1.0	0.12478554242463269
