	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_lda_exact_appearance	topics_lda_shared_vocabulary	topics_lda_semantic_similarity	topics_nmf_exact_appearance	topics_nmf_shared_vocabulary	topics_nmf_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_tfidf_corpus_exact_appearance	topics_tfidf_corpus_shared_vocabulary	topics_tfidf_corpus_semantic_similarity	topics_dt_exact_appearance	topics_dt_shared_vocabulary	topics_dt_semantic_similarity
count	24.0	24.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	12.0	12.0	25.0
mean	0.9958333333333332	0.8679635290606652	-0.0009501421508854424	0.9968351804938519	0.8528020540121442	-0.0019077630470467754	0.9159999999999999	0.836	0.0019924861896300963	0.9159999999999999	0.8319999999999999	0.0023034707943144195	0.9479999999999998	0.888	0.001763724295031417	0.9479999999999998	0.888	0.001763724295031417	0.84	0.732	0.0027198275910949345	1.0	1.0	-0.0005864268139012951
std	0.014116492564332016	0.11056582261536024	0.02117959124405357	0.009867273698572687	0.09932700211056078	0.018275330525018903	0.18411952639521975	0.201825006709608	0.02153024598406561	0.18411952639521975	0.2035517952102938	0.021323670206933022	0.07141428428542848	0.10923979738782626	0.023470924266852416	0.07141428428542848	0.10923979738782626	0.023470924266852416	0.18708286933869706	0.1842100250619747	0.021642353999627297	0.0	0.0	0.03301854430700739
min	0.95	0.6363636363636364	-0.08014910580843027	0.9545454545454546	0.6153846153846154	-0.045436858842076155	0.1	0.1	-0.06876913570075827	0.1	0.1	-0.06876913570075827	0.8	0.7	-0.08165216328289437	0.8	0.7	-0.08165216328289437	0.2	0.2	-0.07162224043114129	1.0	1.0	-0.08014910580843027
25%	1.0	0.7923076923076924	-0.005232602203705028	1.0	0.7857142857142857	-0.008876189187824624	0.9	0.7	-0.005966781063924342	0.9	0.7	-0.005966781076601757	0.9	0.8	-0.00596678106392412	0.9	0.8	-0.00596678106392412	0.8	0.6	-0.0009830617134221065	1.0	1.0	-0.01871070578526912
50%	1.0	0.8957219251336899	0.002582085676962498	1.0	0.8641202254226675	-0.0013241268697703479	1.0	0.9	0.0032543946263966506	1.0	0.9	0.0032543946263966506	1.0	0.9	0.004750015405911467	1.0	0.9	0.004750015405911467	0.9	0.8	0.004757565550822851	1.0	1.0	-0.0013617860440608975
75%	1.0	0.9480263157894736	0.011058159436691528	1.0	0.9166666666666666	0.01039085532933448	1.0	1.0	0.015158424741642307	1.0	1.0	0.015158424741642307	1.0	1.0	0.018239419880938357	1.0	1.0	0.018239419880938357	1.0	0.9	0.017464971474487112	1.0	1.0	0.018848400943071164
max	1.0	1.0	0.02799101967475537	1.0	1.0	0.023075726754269943	1.0	1.0	0.03300453642768486	1.0	1.0	0.03300453642768486	1.0	1.0	0.03300453642768486	1.0	1.0	0.03300453642768486	1.0	1.0	0.03011233106301059	1.0	1.0	0.07410831620035163
