	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_lda_exact_appearance	topics_lda_shared_vocabulary	topics_lda_semantic_similarity	topics_nmf_exact_appearance	topics_nmf_shared_vocabulary	topics_nmf_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_tfidf_corpus_exact_appearance	topics_tfidf_corpus_shared_vocabulary	topics_tfidf_corpus_semantic_similarity	topics_dt_exact_appearance	topics_dt_shared_vocabulary	topics_dt_semantic_similarity
count	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	136.0	23.0	23.0	136.0
mean	0.9559491978609626	0.7941246151689503	0.001471348328400781	0.9788918680442172	0.7888328062595961	0.0022530077764098444	0.6455882352941177	0.5110294117647058	-0.0004994259059014464	0.6485294117647059	0.5095588235294117	-0.0004544649884140263	0.7748366013071895	0.5314542483660131	-0.00041379324829950403	0.7748366013071895	0.5314542483660131	-0.00041379324829950403	0.4999883286647993	0.38994222689075625	-0.0007541502531895723	1.0	1.0	-0.0014801053205686038
std	0.06935470353422968	0.1925713115288066	0.021050304408663883	0.0475770819836634	0.1328239524335692	0.02057749628717706	0.2780534579720169	0.2995484982974275	0.026252792555052338	0.2802076727523375	0.2986087931206584	0.026329987685982915	0.20247320965843246	0.3127252516678867	0.02357369789241885	0.20247320965843246	0.3127252516678867	0.02357369789241885	0.2165561181562659	0.233364222374621	0.024725712142901934	0.0	0.0	0.0393520684427012
min	0.6	0.0	-0.08575254684013744	0.7727272727272727	0.32857142857142857	-0.09670070365649774	0.0	0.0	-0.09008606418973097	0.0	0.0	-0.09008606418973097	0.1	0.0	-0.09866984607638685	0.1	0.0	-0.09866984607638685	0.0	0.0	-0.08992918290568563	1.0	1.0	-0.10024221073423534
25%	0.95	0.7236590038314177	-0.010228523837632453	0.9922895017319477	0.7062818336162988	-0.007444077151316508	0.4	0.2	-0.01626217604060809	0.4	0.2	-0.01626217604060809	0.7	0.3	-0.014692179993775867	0.7	0.3	-0.014692179993775867	0.3	0.2	-0.017688993628557248	1.0	1.0	-0.027550329339698032
50%	1.0	0.8596059113300492	0.00031470806721262123	1.0	0.7958333333333334	0.0015675705363740744	0.7	0.5	-0.0022284078651875205	0.7	0.5	-0.0022284078651875205	0.8	0.6	-0.0018174249770613882	0.8	0.6	-0.0018174249770613882	0.5	0.4	-0.001061061008722941	1.0	1.0	-0.0012029574220944195
75%	1.0	0.9207692307692308	0.013133243592701876	1.0	0.8857142857142857	0.011238770543161414	0.9	0.8	0.015417610015964978	0.9	0.8	0.016407911654304275	0.9	0.8	0.010461416267805335	0.9	0.8	0.010461416267805335	0.6	0.5666666666666667	0.01100042445549465	1.0	1.0	0.028461525864709458
max	1.0	1.0	0.0835851219442929	1.0	1.0	0.0872644739028745	1.0	1.0	0.08732594947867367	1.0	1.0	0.08732594947867367	1.0	1.0	0.09610891830943713	1.0	1.0	0.09610891830943713	1.0	1.0	0.08707023095915545	1.0	1.0	0.11076764248028148
