	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_lda_exact_appearance	topics_lda_shared_vocabulary	topics_lda_semantic_similarity	topics_nmf_exact_appearance	topics_nmf_shared_vocabulary	topics_nmf_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_tfidf_corpus_exact_appearance	topics_tfidf_corpus_shared_vocabulary	topics_tfidf_corpus_semantic_similarity	topics_dt_exact_appearance	topics_dt_shared_vocabulary	topics_dt_semantic_similarity
count	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	3.0	5.0
mean	1.0	0.8786749482401657	0.00045140201930571333	0.988873684225657	0.7692179032626397	0.000256336392560419	0.9800000000000001	0.96	-0.0036401322265194437	0.9800000000000001	0.96	-0.004621861625501466	1.0	0.9400000000000001	-0.00319088312215976	1.0	0.9400000000000001	-0.00319088312215976	0.96	0.86	-0.0005371302900561536	1.0	1.0	0.00640734167118977
std	0.0	0.1368700715715113	0.012682597277292894	0.015706172747030414	0.06901244056655623	0.010970578334859456	0.04472135954999579	0.08944271909999157	0.023127688121426782	0.04472135954999579	0.08944271909999157	0.022467137355508173	0.0	0.08944271909999157	0.02254828841115123	0.0	0.08944271909999157	0.02254828841115123	0.08944271909999157	0.16733200530681513	0.015469611484983084	0.0	0.0	0.032229807219554304
min	1.0	0.6666666666666666	-0.020605446242023095	0.966786355475763	0.7	-0.016933409143000455	0.9	0.8	-0.044452565057541804	0.9	0.8	-0.044452565057541804	1.0	0.8	-0.04303645904511111	1.0	0.8	-0.04303645904511111	0.8	0.6	-0.026076790456198262	1.0	1.0	-0.04412820295254405
25%	1.0	0.8571428571428571	0.0010731748071559633	0.977582065652522	0.7407407407407407	-0.0005010930631916821	1.0	1.0	0.0008405290399069454	1.0	1.0	0.001882646989801895	1.0	0.9	0.002023624328187923	1.0	0.9	0.002023624328187923	1.0	0.8	-0.002288480582847363	1.0	1.0	0.0024905845972165164
50%	1.0	0.8695652173913043	0.003110195859162057	1.0	0.7452180566182096	0.0009014896929164795	1.0	1.0	0.005607794235416019	1.0	1.0	0.002935216424745035	1.0	1.0	0.004984189362276181	1.0	1.0	0.004984189362276181	1.0	0.9	0.004502874262359735	1.0	1.0	0.005510056580067091
75%	1.0	1.0	0.005183321255770923	1.0	0.7777777777777778	0.004708710258658377	1.0	1.0	0.009025047552112753	1.0	1.0	0.007500345963374788	1.0	1.0	0.009025047552112642	1.0	1.0	0.009025047552112642	1.0	1.0	0.006784508120340482	1.0	1.0	0.028921411382690665
max	1.0	1.0	0.013495764416462719	1.0	0.8823529411764706	0.013105984217419375	1.0	1.0	0.010778533097508869	1.0	1.0	0.009025047552112753	1.0	1.0	0.011049182191735563	1.0	1.0	0.011049182191735563	1.0	1.0	0.01439223720606464	1.0	1.0	0.03924285874851863
