	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_count_dt_exact_appearance	topics_count_dt_shared_vocabulary	topics_count_dt_semantic_similarity	topics_tfidf_dt_exact_appearance	topics_tfidf_dt_shared_vocabulary	topics_tfidf_dt_semantic_similarity
count	85.0	85.0	93.0	91.0	91.0	93.0	87.0	87.0	93.0	87.0	87.0	93.0	73.0	73.0	93.0	73.0	73.0	93.0
mean	0.9664705882352942	0.8193649463686057	0.28706369396819864	0.9888426640940986	0.8435636760574856	0.25611183271613175	0.8425971538040504	0.6617223134464514	0.17419207480645948	0.8425971538040504	0.6617223134464514	0.17419207480645948	1.0	1.0	0.11323476831118266	1.0	1.0	0.11323476831118266
std	0.07002900559518072	0.21164395715597387	0.18306177402259208	0.03799506146513623	0.13498959606795644	0.24377210929383866	0.2137911954091434	0.3773320207265217	0.1789193529392688	0.2137911954091434	0.3773320207265217	0.1789193529392688	0.0	0.0	0.16830477702872232	0.0	0.0	0.16830477702872232
min	0.6	0.0	-0.0009009838104248047	0.6498834498834499	0.24325247693884525	0.02106177806854248	0.0	0.0	0.01291579008102417	0.0	0.0	0.01291579008102417	1.0	1.0	-0.020334482192993164	1.0	1.0	-0.020334482192993164
25%	0.95	0.7777777777777778	0.17173582315444946	0.9870107962213226	0.8021739130434783	0.1102362871170044	0.8	0.26111111111111107	0.06815791130065918	0.8	0.26111111111111107	0.06815791130065918	1.0	1.0	0.024343013763427734	1.0	1.0	0.024343013763427734
50%	1.0	0.8695652173913043	0.2261309027671814	1.0	0.8518518518518519	0.14532768726348877	0.9	0.9	0.10847949981689453	0.9	0.9	0.10847949981689453	1.0	1.0	0.04480952024459839	1.0	1.0	0.04480952024459839
75%	1.0	0.9523809523809523	0.3779790997505188	1.0	0.9128787878787878	0.3200315833091736	1.0	0.95	0.1880967617034912	1.0	0.95	0.1880967617034912	1.0	1.0	0.1022520661354065	1.0	1.0	0.1022520661354065
max	1.0	1.0	0.9999999403953552	1.0	1.0	1.0	1.0	1.0	0.9999999403953552	1.0	1.0	0.9999999403953552	1.0	1.0	0.9999999403953552	1.0	1.0	0.9999999403953552
