	topics_yake_exact_appearance	topics_yake_shared_vocabulary	topics_yake_semantic_similarity	topics_pytextrank_exact_appearance	topics_pytextrank_shared_vocabulary	topics_pytextrank_semantic_similarity	topics_lda_exact_appearance	topics_lda_shared_vocabulary	topics_lda_semantic_similarity	topics_nmf_exact_appearance	topics_nmf_shared_vocabulary	topics_nmf_semantic_similarity	topics_count_exact_appearance	topics_count_shared_vocabulary	topics_count_semantic_similarity	topics_tfidf_texts_exact_appearance	topics_tfidf_texts_shared_vocabulary	topics_tfidf_texts_semantic_similarity	topics_tfidf_corpus_exact_appearance	topics_tfidf_corpus_shared_vocabulary	topics_tfidf_corpus_semantic_similarity	topics_dt_exact_appearance	topics_dt_shared_vocabulary	topics_dt_semantic_similarity
count	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	52.0	52.0	249.0
mean	0.987800263101468	0.9176260597947344	0.003229209393117274	0.9992517560309857	0.939796148800215	0.0052458256116500075	0.9775100401606426	0.9228915662650603	0.0134856847376715	0.9775100401606426	0.9228915662650603	0.01348202450364632	0.9971441320838911	0.9419694651622362	0.014049209848564047	0.9971441320838911	0.9419694651622362	0.014049209848564047	0.9704277427168994	0.9113804424045387	0.012664197690074607	1.0	1.0	0.022721819589433794
std	0.04087355652667879	0.12629561818420446	0.02973490017670398	0.007998467166996244	0.07795228185161485	0.031540995864181874	0.06996704941347322	0.09754068779416883	0.028922873898521124	0.06996704941347322	0.09754068779416883	0.028936992031802212	0.019083310518463396	0.07256364816772723	0.028967533778509778	0.019083310518463396	0.07256364816772723	0.028967533778509778	0.06901857258991827	0.09323083640582921	0.02847152376410971	0.0	0.0	0.04001286247023319
min	0.8	0.5	-0.06955211918389503	0.9	0.7	-0.08940415489721865	0.6	0.5	-0.07386562314697853	0.6	0.5	-0.07386562314697853	0.8	0.7	-0.07386562278270548	0.8	0.7	-0.07386562278270548	0.6	0.6	-0.08682432763305936	1.0	1.0	-0.11274196480720988
25%	1.0	0.8333333333333334	-0.017077612615117532	1.0	0.875	-0.014765533698426703	1.0	0.9	-0.004623139021539213	1.0	0.9	-0.004620837796009081	1.0	0.9	-0.006150476183891085	1.0	0.9	-0.006150476183891085	1.0	0.875	-0.0044744929430595715	1.0	1.0	-0.002777669008120043
50%	1.0	1.0	0.0025004935202647127	1.0	1.0	0.006343150287767885	1.0	0.9	0.012147888462483936	1.0	0.9	0.011963337199804025	1.0	1.0	0.01414175484053648	1.0	1.0	0.01414175484053648	1.0	0.9	0.011681485601709563	1.0	1.0	0.02183089228789392
75%	1.0	1.0	0.02221706181888372	1.0	1.0	0.024363320504456887	1.0	1.0	0.034049727328238744	1.0	1.0	0.034049727328238744	1.0	1.0	0.03484477443788325	1.0	1.0	0.03484477443788325	1.0	1.0	0.0333634913655263	1.0	1.0	0.04894348017605721
max	1.0	1.0	0.08208626134787711	1.0	1.0	0.09314825260058512	1.0	1.0	0.08310056732930649	1.0	1.0	0.08310056732930649	1.0	1.0	0.0943741937247079	1.0	1.0	0.0943741937247079	1.0	1.0	0.09330492702617921	1.0	1.0	0.10672643340352728
